model,family,benchmark,score,source,sample_weight,pred_Scale,abs_err_Scale,pred_Scale+Arch,abs_err_Scale+Arch,pred_Scale+Recipe,abs_err_Scale+Recipe,pred_Full,abs_err_Full,prediction,residual,abs_residual,sq_residual,residual_sign,thinking,tools_allowed,reasoning_effort,release_year_norm,source_detail
Claude-3.5-Sonnet,Claude,AIME_2024,16.0,cross_report,0.85,83.5348300691048,67.5348300691048,83.06383575690788,67.06383575690788,54.30940354887976,38.30940354887976,68.75212350254894,52.75212350254894,68.75212350254894,-52.75212350254894,52.75212350254894,2782.7865340281764,overpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,ARC_C,96.7,simple_evals,0.85,95.42069991599625,1.2793000840037507,95.3017632192808,1.398236780719202,84.39828779097388,12.301712209026121,90.68854701993446,6.011452980065542,90.68854701993446,6.011452980065542,6.011452980065542,36.137566931538885,underpredicted,na,unknown,unknown,2.5,OpenAI simple-evals + Anthropic model card Jun 2024
Claude-3.5-Sonnet,Claude,GPQA_Diamond,65.0,cross_report,0.85,82.87591830161654,17.875918301616537,82.95547457508172,17.955474575081723,51.110530844180374,13.889469155819626,66.32104870276123,1.3210487027612317,66.32104870276123,-1.3210487027612317,1.3210487027612317,1.745169675067133,overpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,HumanEval,93.7,cross_report,0.85,90.57999496325992,3.120005036740082,90.31888781666466,3.381112183335347,77.41539731925772,16.28460268074228,86.4699832238264,7.230016776173599,86.4699832238264,7.230016776173599,7.230016776173599,52.273142583751685,underpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,IFEval,86.5,cross_report,0.85,95.06625401043779,8.566254010437788,94.41360474958566,7.913604749585659,77.57851771447572,8.921482285524277,85.30041969408285,1.1995803059171521,85.30041969408285,1.1995803059171521,1.1995803059171521,1.4389929103442882,underpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,LiveCodeBench,37.6,cross_report,0.85,56.184426051731336,18.584426051731334,57.73761759212155,20.13761759212155,23.641664651683527,13.958335348316474,39.186966954434496,1.5869669544344944,39.186966954434496,-1.5869669544344944,1.5869669544344944,2.5184641144670947,overpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,MATH,78.3,cross_report,0.85,83.88427202439524,5.584272024395247,83.3910322820871,5.091032282087099,64.61538746542821,13.684612534571784,77.21686407684814,1.0831359231518576,77.21686407684814,1.0831359231518576,1.0831359231518576,1.1731834280220268,underpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,MBPP,88.2,simple_evals,0.85,90.60860179369432,2.4086017936943165,90.29842392405749,2.098423924057485,79.17143822687285,9.028561773127151,87.4128581621243,0.7871418378757085,87.4128581621243,0.7871418378757085,0.7871418378757085,0.6195922729343482,underpredicted,na,unknown,unknown,2.5,OpenAI simple-evals + Anthropic model card Jun 2024
Claude-3.5-Sonnet,Claude,MMLU,88.3,cross_report,0.85,95.31554850704204,7.015548507042041,95.17390464894376,6.873904648943764,82.83974801886518,5.460251981134817,89.82735092017019,1.5273509201701927,89.82735092017019,-1.5273509201701927,1.5273509201701927,2.3328008333447343,overpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
Claude-3.5-Sonnet,Claude,MMLU_Pro,78.0,cross_report,0.85,88.30836834879197,10.308368348791973,87.92325746536562,9.923257465365623,64.28413835817024,13.715861641829761,76.6701976051063,1.3298023948937043,76.6701976051063,1.3298023948937043,1.3298023948937043,1.7683744094650315,underpredicted,off,unknown,none,2.5,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline)
